Title,Naverlink,Script,Date
한덕수 “개헌으로 대한민국 재통합…성공 즉시 직 내려놓겠다”,https://n.news.naver.com/mnews/article/021/0002707531?sid=154,"그는 지난 3일 발표한 출마 선언문에서도 분권형 개헌을 통해 <b>21대</b> 대통령 임기를 약 3년으로 단축, 2028년 22대 <b>대선</b>과 23대 총선을 동시 시행한 후 대통령직을 사임하겠다고 밝힌 바 있다. 한 후보는 대외문제 최대 현안으로...","Tue, 06 May 2025 10:39:00 +0900"
관훈토론에서 발언하는 한덕수 <b>대선</b> 예비 후보 [포토],https://n.news.naver.com/mnews/article/629/0000387463?sid=100,한덕수 무소속 <b>대선</b> 예비후보(가운데)가 6일 오전 서울 중구 코리아나호텔에서 열린 제<b>21대</b> 대통령선거 예비후보 초청 관훈토론회에 참석해 발언을 하고 있다. 사진영상기획부,"Tue, 06 May 2025 10:35:00 +0900"
"한덕수 “쪼개진 대한민국, 개헌으로 재통합…성공 즉시 직 내려놓을 것...",https://n.news.naver.com/mnews/article/009/0005487580?sid=100,한 후보는 지난 3일 발표한 출마 선언문에서도 분권형 개헌을 통해 <b>21대</b> 대통령의 임기를 약 3년으로 단축해 2028년 22대 <b>대선</b>과 23대 총선을 동시 시행한 후 대통령직을 사임하겠다고 밝힌 바 있다. 한 후보는 통상문제...,"Tue, 06 May 2025 10:32:00 +0900"
한덕수 “개헌 성공시켜 쪼개진 대한민국 하나로 재통합할 것“,https://n.news.naver.com/mnews/article/018/0006006198?sid=100,앞서 한 후보는 지난 3일 발표한 출마 선언문에서도 분권형 개헌을 통해 <b>21대</b> 대통령의 임기를 약 3년으로 단축해 2028년 22대 <b>대선</b>과 23대 총선을 동시 시행한 후 대통령직을 사임하겠다고 밝힌 바 있다. 한 후보는 통상문제...,"Tue, 06 May 2025 10:31:00 +0900"
백상 수상 박찬욱 감독 &quot;못난 선조 말고… 국민 무서워하는 사람 뽑아야...,https://n.news.naver.com/mnews/article/469/0000863181?sid=102,"넷플릭스 오리지널 영화 ‘전,란’으로 백상예술대상 각본상을 수상한 박찬욱 감독이 한 달 앞으로 다가온 제<b>21대</b> 대통령 선거를 언급하며 “위대한 국민 수준에 어울리는 리더를 뽑아야 할 때가 오고 있다”며 “진짜...","Tue, 06 May 2025 10:31:00 +0900"
"6·3 <b>대선</b> 이후, 언론보도 징벌적 손해배상제 운명은",https://n.news.naver.com/mnews/article/006/0000129809?sid=102,"22대 국회에서도 <b>21대</b>와 거의 같은 언론중재법 개정안을 민주당이 발의한 상태인데, 6·3 <b>대선</b> 이후 민주당이 집권할 경우 해당 법안의 향방을 놓고 벌써부터 언론계의 관심이 적지 않다. 그러나 이동관 전...","Tue, 06 May 2025 10:30:00 +0900"
한덕수 &quot;반드시 개헌 성공시켜 하나의 대한민국으로 재통합&quot;,https://n.news.naver.com/mnews/article/422/0000737718?sid=100,"한 후보는 앞서 지난 3일 출마 선언문에서도 <b>21대</b> 대통령 임기를 3년으로 단축하는 분권형 개헌을 약속하고, 2028년 22대 <b>대선</b>과 23대 총선을 동시 시행한 뒤 대통령직을 사임하겠다는 뜻을 전했습니다. 통상 문제와 관련해선...","Tue, 06 May 2025 10:29:00 +0900"
"순천시, 국가산업단지 조성 등 18개 <b>대선</b> 핵심공약 제안",https://n.news.naver.com/mnews/article/022/0004033165?sid=102,"전남 순천시가 제<b>21대</b> 대통령 선거를 앞두고 미래첨단소재 국가산업단지 조성 등 18개 <b>대선</b> 지역 공약 과제를 발굴해 건의했다. 6일 순천시에 따르면 시는 ‘특별지자체 설립 및 메가시티 실현’, ‘남중권 신 경제거점...","Tue, 06 May 2025 10:24:00 +0900"
"한덕수, 민주 겨냥 “수단·방법 안 가리는 언동 판 쳐... 정치 아니라 ...",https://n.news.naver.com/mnews/article/366/0001074809?sid=154,앞서 한 후보는 지난 3일 <b>대선</b> 출마 선언 당시에도 분권형 개헌을 통해 <b>21대</b> 대통령 임기를 3년으로 단축하고 <b>대선</b>·총선을 동시 시행한 후 대통령직을 사임하겠다고 밝힌 바 있다. 한 후보는 약자와의 동행의 필요성도...,"Tue, 06 May 2025 10:22:00 +0900"
한덕수 &quot;개헌으로 정치 바로잡아야…성공 즉시 직 내려놓을 것&quot;,https://n.news.naver.com/mnews/article/003/0013224333?sid=100,"이재우 우지은 기자 = 한덕수 무소속 <b>대선</b> 예비후보는 6일 제<b>21대</b> 대통령 선거 출마와 관련해 &quot;개헌에 성공하는 즉시, 직을 내려놓겠다&quot;고 밝혔다. 한 예비후보는 이날 오전 서울 중구 코리아나호텔에서 열린 관훈클럽 토론회...","Tue, 06 May 2025 10:21:00 +0900"
