video_id,video_title,channel,views,video_likes,comment,comment_likes,reply_1,reply_1_likes
MLZXcTIVGyU,인물론 VS 정권교체론...초박빙 판세 가를 승부수는? [공덕포차 시즌3 ep.21],한겨레TV,46691,1728,"참 안철수는 그냥 윤석열 옆에서 고위직 한번하구 정치판 떠나라 가족들도 사업가로 성공하고 총리까지 하면 그래도 가문의영광 이라 생각하고 만족하면 나름 성공한 인생 아닌가 싶다, 이준석이 조롱했을때 이준석 욕했던 내 입이랑 댓글 쓴 내 손가락을 자르고 싶다. 진짜 부끄럽고 쪽팔리지도 않나 ㅉㅉ",31,윤석열이 안 돼서 그냥 정치은퇴 했으면 좋겠어요.,8
MLZXcTIVGyU,인물론 VS 정권교체론...초박빙 판세 가를 승부수는? [공덕포차 시즌3 ep.21],한겨레TV,46691,1728,정권교체를 불량품으로 할수는 없다.,28,,
WUOQkwa0phc,윤석열 ‘극단적 진통제’ 맞았다?! #shorts,한겨레TV,12796,442,본래 병든인간이 마약성진통제 맞으면 그때만 살지 결국중독으로 죽는다.,13,,
WUOQkwa0phc,윤석열 ‘극단적 진통제’ 맞았다?! #shorts,한겨레TV,12796,442,"지지율  하락을  막기위해
멸콩하고  갈라치기하고
ㅋㅋ",8,,
WUOQkwa0phc,윤석열 ‘극단적 진통제’ 맞았다?! #shorts,한겨레TV,12796,442,이대남 모르핀이라니 너무 크리피하네요,7,,
APerEzbJIvY,김건희 ‘7시간 통화’ 보도 언론 윤리에 어긋나지 않은 이유 #shorts #논썰,한겨레TV,50988,2423,"조국과 너무나 대조적인 검찰들의
횡포",18,,
APerEzbJIvY,김건희 ‘7시간 통화’ 보도 언론 윤리에 어긋나지 않은 이유 #shorts #논썰,한겨레TV,50988,2423,"사드배치는
반드시 지자자가많은
검찰청과 대구경북
국힘국개집에 배치하자
좋겠다",11,,
APerEzbJIvY,김건희 ‘7시간 통화’ 보도 언론 윤리에 어긋나지 않은 이유 #shorts #논썰,한겨레TV,50988,2423,귄영세난저사람인상이맘에영안든다   사람은 타고난인성은  죽어서나고쳐진다는게  진리다,9,,
XoXCLIgSrwM,“완투 능력 의심스러운 윤석열” VS “이재명은 ‘뭘’ 합니까?” [공덕포차 시즌3 ep.17 엑기스],한겨레TV,17792,511,"민심은 이재명입니다.
국민들이 만만하지 않아요.
이재명후보님으로도 정권교체 가능합니다
대한민국은 나보다 무능하고 무지한 후보에게 대한민국을 맡길만큼 무지몽매하지 않습니다.

발전이냐 퇴보냐는 지혜로운 국민만의 선택이기에
이재명 후보님이 승리합니다~!!!",63,"도덕적인 문제는 현시점에선 둘다 똑같이다고봅니다 그래서 대한민국을 세계 리더국으로 이끌어 갈수있는 사람이 누구냐 가  중요하다고봅니다 경험과 자질과 능력이중요하다고 생각, 윤석렬뽑겠다는것은 국민이 어리석은것입니다.",2
XoXCLIgSrwM,“완투 능력 의심스러운 윤석열” VS “이재명은 ‘뭘’ 합니까?” [공덕포차 시즌3 ep.17 엑기스],한겨레TV,17792,511,"묻지도 따지지도 않고 굿당만 찍는 사람들이 아직 많더라구요
단체로 약먹은것처럼
그나마
생각이 있는 사람은 윤은 안찍더라구요
민주진영 화이팅",54,,
XoXCLIgSrwM,“완투 능력 의심스러운 윤석열” VS “이재명은 ‘뭘’ 합니까?” [공덕포차 시즌3 ep.17 엑기스],한겨레TV,17792,511,:yt:2. 소고기를 사준 냉장고 위치는 개인집이 아니라 공관3층 집무실이며 대부분  업무용으로  사용됐고 김혜경여사가  먹은게  아닙니다.,38,당연히 법인카드로 사용하는게 마땅하네요!,4
WtnmVnxOssk,추가로 공개된 김건희 녹취록 파문과 지지율 정체에 속 타는 이재명 [예언해줌],한겨레TV,22447,964,윤써걸 배은망덕한 은혜를  원수로 값는 배신자 는 천벌을 받을것이다,17,,
WtnmVnxOssk,추가로 공개된 김건희 녹취록 파문과 지지율 정체에 속 타는 이재명 [예언해줌],한겨레TV,22447,964,윤석열 본인에게 지적할 게 없으니 김건희를 건든다 하는데 언론이 제대로 탐사보도를 안해서 그렇지  윤석열에겐 의혹이 너무 많다,13,,
WtnmVnxOssk,추가로 공개된 김건희 녹취록 파문과 지지율 정체에 속 타는 이재명 [예언해줌],한겨레TV,22447,964,이재명은 과거의일이지만  윤석열 김건희 는 현재와미래의일이다  유시민,11,,
q0laVCE2CWo,윤석열의 미스터리(?) 지지율과 이재명에게 든 ‘의문’ [공덕포차 시즌3 ep.15 엑기스],한겨레TV,70091,1439,이재명의 삶을 제대로 알면 욕 못한다. 나는 존경한다 이재명을 ....ㅜ.ㅜ,20,"이재명 욕할자격있는사람이 얼마나 있을까요?
이재명은 너무 찐효자입니다",4
q0laVCE2CWo,윤석열의 미스터리(?) 지지율과 이재명에게 든 ‘의문’ [공덕포차 시즌3 ep.15 엑기스],한겨레TV,70091,1439,"선거일이 다가올수록 국민들이 합리적인 판단을 할것이라고 믿고있습니다!!!
윤석열같이 무능한사람을 우리 똑똑한 국민들이 당선시킬리 없다고 봅니다",14,,
q0laVCE2CWo,윤석열의 미스터리(?) 지지율과 이재명에게 든 ‘의문’ [공덕포차 시즌3 ep.15 엑기스],한겨레TV,70091,1439,형수가 이재명에게 사과해야지 형수가어머니에게한것보면 인간이가,8,,
343h7VF5CXs,"문고리 권력의 부활?... 지지율에 취한 윤석열 캠프 그리고, 언론 탓 하는 이재명 캠프 [예언해줌]",한겨레TV,13756,558,이재명후보님 꼭승리하시길바랍니다~🇰🇷💙👍,20,,
343h7VF5CXs,"문고리 권력의 부활?... 지지율에 취한 윤석열 캠프 그리고, 언론 탓 하는 이재명 캠프 [예언해줌]",한겨레TV,13756,558,"언론탓??
기가막힌다ㅜ
쓰레기들이
언론이라 스스로 칭하는가?",17,,
343h7VF5CXs,"문고리 권력의 부활?... 지지율에 취한 윤석열 캠프 그리고, 언론 탓 하는 이재명 캠프 [예언해줌]",한겨레TV,13756,558,"지금 언론 탓 안하게 됐나? 아무리 객관적으로 봐도 이건 아니지. 종전 선언 반대, 한일관계는 우리 나라 탓, 광주 사과 쑈 등 정말 기가 찰 얘기들은 TV 뉴스에서 볼 수 없으니 언론 탓이 아니란 말인가? 반성하세요",16,,
ALdx42ODYDs,김건희 ‘7시간 통화 폭로’와 무속인 논란 그리고 이재명-윤석열 ‘지지율 역전’의 아이러니 [예언해줌],한겨레TV,26159,966,김건희  청와대  안주인되면  청와대  제 2  무속실 생길것  ...국정농단  불보듯 ...,22,,
ALdx42ODYDs,김건희 ‘7시간 통화 폭로’와 무속인 논란 그리고 이재명-윤석열 ‘지지율 역전’의 아이러니 [예언해줌],한겨레TV,26159,966,15분 방송된것도 첨부터 거짓말만 일관되게 했는데 이제 서서히 방송양이 많아지면서 모든게 밝혀지리라 믿어요.,17,,
ALdx42ODYDs,김건희 ‘7시간 통화 폭로’와 무속인 논란 그리고 이재명-윤석열 ‘지지율 역전’의 아이러니 [예언해줌],한겨레TV,26159,966,"....극빈하여 부정식품 먹고
배우지 못해 무식하여
자유가 뭔지 모르지만
우리는 누가 대통령 자격
있는지 확실히 안다.",13,,
GJPPMk0AyQM,김건희 사과는 윤석열 지지율 하락을 왜 못 막았을까[#논썰 ｜EP.65],한겨레TV,514764,25908,"무식한 사람과 토론을 해야합니까??
네! 해야 합니다. ㅋㅋㅋ
윤석열 당신이야말로 무식하고 무례한 인간입니다
그런 얄팍한 인간성이 심물이난다
역시 싸기꾼의 딸 과 무식한 윤석열 은 참 잘아울리는 앙상블 ㅋㅋㅋ",1,,
